sample_name,sector,sector_colour,site,SiteCharacteristic,ST,Number,Location,,,sample,SiteCharacteristic
H197,Human,#336699,PKM Jatinegara,02_Community,720,1,PKM Jatinegara,,,,
H198,Human,#336699,PKM Jatinegara,02_Community,88,1,PKM Jatinegara,,,,
H199,Human,#336699,PKM Jatinegara,02_Community,48,1,PKM Jatinegara,,,,
H208,Human,#336699,PKM Jatinegara,02_Community,,1,PKM Jatinegara,,,,
H209,Human,#336699,PKM Jatinegara,02_Community,2179,1,PKM Jatinegara,,,,
H210,Human,#336699,PKM Jatinegara,02_Community,2179,1,PKM Jatinegara,,,,
A1,Animal,#9900ff,Pasar Sawah Barat,03_Market,2973,8,Pasar Sawah Barat,,,,
A11,Animal,#9900ff,RPHU Rawa Kepiting,03_Market,-,12,RPHU Rawa Kepiting,,,,
A12,Animal,#9900ff,RPHU Rawa Kepiting,03_Market,189,12,RPHU Rawa Kepiting,,,,
A13,Animal,#9900ff,Pasar Pondok Bambu,03_Market,155,7,Pasar Pondok Bambu,,,,
A14,Animal,#9900ff,Pasar Ciplak,03_Market,752,15,Pasar Ciplak,,,,
A15,Animal,#9900ff,Pasar Deprok,03_Market,2711,14,Pasar Deprok,,,,
A17,Animal,#9900ff,Pasar Sawah Barat,03_Market,752,8,Pasar Sawah Barat,,,,
A18,Animal,#9900ff,Pasar Sawah Barat,03_Market,155,8,Pasar Sawah Barat,,,,
A19,Animal,#9900ff,Pasar Sawah Barat,03_Market,48,8,Pasar Sawah Barat,,,,
A190,Animal,#9900ff,Pasar Pondok Bambu,03_Market,10,7,Pasar Pondok Bambu,,,,
A2,Animal,#9900ff,Pasar Pondok Bambu,03_Market,6854,7,Pasar Pondok Bambu,,,,
A20,Animal,#9900ff,Pasar Ciplak,03_Market,1485,15,Pasar Ciplak,,,,
A21,Animal,#9900ff,Pasar Deprok,03_Market,2607,14,Pasar Deprok,,,,
A22,Animal,#9900ff,Pasar Deprok,03_Market,48,14,Pasar Deprok,,,,
A24,Animal,#9900ff,RPHU Rawa Kepiting,03_Market,206,12,RPHU Rawa Kepiting,,,,
A25,Animal,#9900ff,Pasar Sawah Barat,03_Market,2732,8,Pasar Sawah Barat,,,,
A26,Animal,#9900ff,Pasar Ciplak,03_Market,162,15,Pasar Ciplak,,,,
A27,Animal,#9900ff,Pasar Ciplak,03_Market,1196,15,Pasar Ciplak,,,,
A29,Animal,#9900ff,Pasar Sawah Barat,03_Market,,8,Pasar Sawah Barat,,,,
A3,Animal,#9900ff,Pasar Pondok Bambu,03_Market,189,7,Pasar Pondok Bambu,,,,
A30,Animal,#9900ff,Pasar Sawah Barat,03_Market,58,8,Pasar Sawah Barat,,,,
A31,Animal,#9900ff,Pasar Ciplak,03_Market,1485,15,Pasar Ciplak,,,,
A32,Animal,#9900ff,Pasar Ciplak,03_Market,-,15,Pasar Ciplak,,,,
A33,Animal,#9900ff,Pasar Deprok,03_Market,5416,14,Pasar Deprok,,,,
A38,Animal,#9900ff,Pasar Sawah Barat,03_Market,7584,8,Pasar Sawah Barat,,,,
A39,Animal,#9900ff,Pasar Sawah Barat,03_Market,533,8,Pasar Sawah Barat,,,,
A4,Animal,#9900ff,Pasar Deprok,03_Market,189,14,Pasar Deprok,,,,
A40,Animal,#9900ff,Pasar Pondok Bambu,03_Market,155,7,Pasar Pondok Bambu,,,,
A41,Animal,#9900ff,Pasar Pondok Bambu,03_Market,155,7,Pasar Pondok Bambu,,,,
A42,Animal,#9900ff,Pasar Pondok Bambu,03_Market,155,7,Pasar Pondok Bambu,,,,
A43,Animal,#9900ff,Pasar Ciplak,03_Market,9022,15,Pasar Ciplak,,,,
A44,Animal,#9900ff,Pasar Deprok,03_Market,-,14,Pasar Deprok,,,,
A45,Animal,#9900ff,Pasar Deprok,03_Market,43,14,Pasar Deprok,,,,
A49,Animal,#9900ff,Pasar Pondok Bambu,03_Market,69,7,Pasar Pondok Bambu,,,,
A50,Animal,#9900ff,Pasar Ciplak,03_Market,155,15,Pasar Ciplak,,,,
A51,Animal,#9900ff,Pasar Pondok Bambu,03_Market,4937,7,Pasar Pondok Bambu,,,,
A52,Animal,#9900ff,Pasar Pondok Bambu,03_Market,-,7,Pasar Pondok Bambu,,,,
A54,Animal,#9900ff,Pasar Ciplak,03_Market,8070,15,Pasar Ciplak,,,,
A55,Animal,#9900ff,Pasar Ciplak,03_Market,1246,15,Pasar Ciplak,,,,
A57,Animal,#9900ff,Pasar Deprok,03_Market,48,14,Pasar Deprok,,,,
A58,Animal,#9900ff,Pasar Pondok Bambu,03_Market,648,7,Pasar Pondok Bambu,,,,
A59,Animal,#9900ff,Pasar Deprok,03_Market,2179,14,Pasar Deprok,,,,
A7,Animal,#9900ff,RPHU Rawa Kepiting,03_Market,4773,12,RPHU Rawa Kepiting,,,,
A8,Animal,#9900ff,RPHU Rawa Kepiting,03_Market,6448,12,RPHU Rawa Kepiting,,,,
A9,Animal,#9900ff,Pasar Deprok,03_Market,1011,14,Pasar Deprok,,,,
