"","sample_name","sector","sector_colour","site","SiteCharacteristic","ST","Number","Location","S","E","Latitude","Longitude"
"170","E165","Environment","#339900","Pasar Ciplak","03_Market","43",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"171","E166","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","8676",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"172","E167","Environment","#339900","Outlet Persahabatan","09_Hospital wasterwater outlet","205",17,"Outlet Persahabatan",NA,NA,-6.19,106.87
"173","E168","Environment","#339900","Outlet Persahabatan","09_Hospital wasterwater outlet","1266",17,"Outlet Persahabatan",NA,NA,-6.19,106.87
"174","E169","Environment","#339900","Kali Molek","05_Upstream","191",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"175","E170","Environment","#339900","Kali Molek","05_Upstream","2170",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"176","E171","Environment","#339900","Kranggan","05_Upstream","69",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"177","E172","Environment","#339900","Kranggan","05_Upstream","3580",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"178","E173","Environment","#339900","Kranggan","05_Upstream","746",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"179","E174","Environment","#339900","Pasar Pondok Bambu","03_Market","58",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"180","E175","Environment","#339900","Pasar Sawah Barat","03_Market","1673",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"181","E176","Environment","#339900","Cilincing","07_Downstream","12780",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"182","E177","Environment","#339900","Cilincing","07_Downstream","38",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"183","E178","Environment","#339900","Cilincing","07_Downstream","5276",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"184","E179","Environment","#339900","RPHU Rawa Kepiting","04_Slaughtherhouse","1426",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"185","E180","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","4663",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"186","E181","Environment","#339900","Pasar Deprok","03_Market","-",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"187","E182","Environment","#339900","Pasar Ciplak","03_Market","2171",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"188","E183","Environment","#339900","Pasar Ciplak","03_Market","10",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"189","E184","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","410",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"190","E185","Environment","#339900","Outlet Persahabatan","09_Hospital wasterwater outlet","155",17,"Outlet Persahabatan",NA,NA,-6.19,106.87
"191","E186","Environment","#339900","Kali Molek","05_Upstream","410",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"192","E187","Environment","#339900","Pasar Ciplak","03_Market","155",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"193","E188","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","410",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"194","E189","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","48",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"195","E60","Environment","#339900","Kali Molek","05_Upstream","48",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"196","E61","Environment","#339900","Kali Sunter","06_Midstream","8676",5,"Kali Sunter","S 06'19'04.0""","E 106'55'17.2",-6.31777777777778,106.921444444444
"197","E62","Environment","#339900","Kranggan","05_Upstream","410",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"198","E63","Environment","#339900","Kranggan","05_Upstream","10",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"199","E64","Environment","#339900","Kranggan","05_Upstream","10",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"200","E65","Environment","#339900","Pasar Sawah Barat","03_Market","101",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"201","E66","Environment","#339900","Kali Sindang","07_Downstream","155",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"202","E67","Environment","#339900","Cilincing","07_Downstream","6707",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"203","E68","Environment","#339900","BKT","07_Downstream","44",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"204","E69","Environment","#339900","BKT","07_Downstream","2562",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"205","E70","Environment","#339900","RPHU Rawa Kepiting","04_Slaughtherhouse","10338",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"206","E71","Environment","#339900","RPHU Rawa Kepiting","04_Slaughtherhouse","48",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"207","E72","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","1285",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"208","E73","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","6707",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"209","E74","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","155",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"210","E75","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","-",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"211","E76","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","196",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"212","E77","Environment","#339900","Pasar Ciplak","03_Market","752",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"213","E78","Environment","#339900","Kali Molek","05_Upstream","2607",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"214","E79","Environment","#339900","Kali Molek","05_Upstream","38",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"215","E80","Environment","#339900","Kali Molek","05_Upstream","101",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"216","E81","Environment","#339900","Kranggan","05_Upstream","10",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"217","E82","Environment","#339900","Pasar Pondok Bambu","03_Market","744",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"218","E83","Environment","#339900","Pasar Pondok Bambu","03_Market","155",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"219","E84","Environment","#339900","Kali Sindang","07_Downstream","43",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"220","E85","Environment","#339900","Kali Sindang","07_Downstream","11146",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"221","E86","Environment","#339900","Cilincing","07_Downstream","1266",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"222","E87","Environment","#339900","Cilincing","07_Downstream","752",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"223","E88","Environment","#339900","Cilincing","07_Downstream","11749",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"224","E89","Environment","#339900","BKT","07_Downstream","1722",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"225","E90","Environment","#339900","BKT","07_Downstream","69",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"226","E91","Environment","#339900","RPHU Rawa Kepiting","04_Slaughtherhouse","156",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"227","E92","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","58",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"228","E93","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","410",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"229","E94","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","1011",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"230","E95","Environment","#339900","Pasar Deprok","03_Market","752",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"231","E96","Environment","#339900","Pasar Ciplak","03_Market","10",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"232","E97","Environment","#339900","Outlet Persahabatan","09_Hospital wasterwater outlet","6448",17,"Outlet Persahabatan",NA,NA,-6.19,106.87
"233","E98","Environment","#339900","Outlet Persahabatan","09_Hospital wasterwater outlet","43",17,"Outlet Persahabatan",NA,NA,-6.19,106.87
"234","E99","Environment","#339900","Kali Molek","05_Upstream","3580",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"235","H193","Human","#336699","PKM Jatinegara","02_Community","58",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"236","H194","Human","#336699","PKM Jatinegara","02_Community","949",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"237","H195","Human","#336699","PKM Jatinegara","02_Community","2461",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"238","H196","Human","#336699","PKM Jatinegara","02_Community","155",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"239","H197","Human","#336699","PKM Jatinegara","02_Community","720",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"240","H198","Human","#336699","PKM Jatinegara","02_Community","88",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"241","H199","Human","#336699","PKM Jatinegara","02_Community","48",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"242","H200","Human","#336699","RSCM","01_Hospital","38",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"243","H202","Human","#336699","RSCM","01_Hospital","58",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"244","H203","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"245","H204","Human","#336699","RSCM","01_Hospital","",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"246","H205","Human","#336699","RSCM","01_Hospital","127",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"247","H206","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"248","H207","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"249","H208","Human","#336699","PKM Jatinegara","02_Community","",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"250","H209","Human","#336699","PKM Jatinegara","02_Community","2179",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"251","H210","Human","#336699","PKM Jatinegara","02_Community","2179",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"252","H241_S1","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"253","H243_S3","Human","#336699","RSCM","01_Hospital","10",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"254","H244_S4","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"255","H246_S6","Human","#336699","RSCM","01_Hospital","127",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"256","H247_S7","Human","#336699","RSCM","01_Hospital","",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"257","H248_S8","Human","#336699","RSCM","01_Hospital","405",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"258","H250_S9","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"259","H252_S11","Human","#336699","RSCM","01_Hospital","69",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"260","H253_S12","Human","#336699","RSCM","01_Hospital","117",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"261","H254_S13","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"262","H256_S14","Human","#336699","RSCM","01_Hospital","1193",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"263","H258_S15","Human","#336699","RSCM","01_Hospital","7401",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"264","H260_S17","Human","#336699","RSCM","01_Hospital","405",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"265","H261_S18","Human","#336699","RSCM","01_Hospital","405",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"266","H262_S19","Human","#336699","RSCM","01_Hospital","767",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"267","H265_S20","Human","#336699","RSCM","01_Hospital","1193",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"268","H266_S21","Human","#336699","RSCM","01_Hospital","12",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"269","H268_S23","Human","#336699","RSCM","01_Hospital","683",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"270","H270_S24","Human","#336699","RSCM","01_Hospital","131",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"271","H276_S22","Human","#336699","RSCM","01_Hospital","-",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
