"","sample_name","sector","sector_colour","site","SiteCharacteristic","ST","Number","Location","S","E","Latitude","Longitude"
"43","A25","Animal","#9900ff","Pasar Sawah Barat","03_Market","2732",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"44","A26","Animal","#9900ff","Pasar Ciplak","03_Market","162",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"45","A27","Animal","#9900ff","Pasar Ciplak","03_Market","1196",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"46","A28","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","2036",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"47","A29","Animal","#9900ff","Pasar Sawah Barat","03_Market","",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"48","A3","Animal","#9900ff","Pasar Pondok Bambu","03_Market","189",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"49","A3_S3","Human","#336699","RSCM","01_Hospital","69",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"50","A30","Animal","#9900ff","Pasar Sawah Barat","03_Market","58",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"51","A31","Animal","#9900ff","Pasar Ciplak","03_Market","1485",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"52","A32","Animal","#9900ff","Pasar Ciplak","03_Market","-",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"53","A33","Animal","#9900ff","Pasar Deprok","03_Market","5416",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"54","A34","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","2036",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"55","A35","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","1011",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"56","A36","Animal","#9900ff","RPHU Rawa Kepiting","04_Slaughtherhouse","189",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"57","A37","Animal","#9900ff","RPHU Rawa Kepiting","04_Slaughtherhouse","2973",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"58","A38","Animal","#9900ff","Pasar Sawah Barat","03_Market","7584",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"59","A39","Animal","#9900ff","Pasar Sawah Barat","03_Market","533",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"60","A4","Animal","#9900ff","Pasar Deprok","03_Market","189",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"61","A4_S4","Human","#336699","RSCM","01_Hospital","10",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"62","A40","Animal","#9900ff","Pasar Pondok Bambu","03_Market","155",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"63","A41","Animal","#9900ff","Pasar Pondok Bambu","03_Market","155",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"64","A42","Animal","#9900ff","Pasar Pondok Bambu","03_Market","155",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"65","A43","Animal","#9900ff","Pasar Ciplak","03_Market","9022",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"66","A44","Animal","#9900ff","Pasar Deprok","03_Market","-",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"67","A45","Animal","#9900ff","Pasar Deprok","03_Market","43",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"68","A46","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","752",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"69","A47","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","533",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"70","A48","Animal","#9900ff","RPHU Rawa Kepiting","04_Slaughtherhouse","3998",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"71","A49","Animal","#9900ff","Pasar Pondok Bambu","03_Market","69",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"72","A5","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","752",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"73","A5_S5","Human","#336699","RSCM","01_Hospital","410",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"74","A50","Animal","#9900ff","Pasar Ciplak","03_Market","155",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"75","A51","Animal","#9900ff","Pasar Pondok Bambu","03_Market","4937",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"76","A52","Animal","#9900ff","Pasar Pondok Bambu","03_Market","-",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"77","A53","Animal","#9900ff","RPHU Rawa Kepiting","04_Slaughtherhouse","189",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"78","A54","Animal","#9900ff","Pasar Ciplak","03_Market","8070",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"79","A55","Animal","#9900ff","Pasar Ciplak","03_Market","1246",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"80","A56","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","57",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"81","A57","Animal","#9900ff","Pasar Deprok","03_Market","48",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"82","A58","Animal","#9900ff","Pasar Pondok Bambu","03_Market","648",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"83","A59","Animal","#9900ff","Pasar Deprok","03_Market","2179",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"84","A6","Animal","#9900ff","RPH Pulogadung","04_Slaughtherhouse","6854",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"85","A6_S6","Human","#336699","RSCM","01_Hospital","117",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"86","A7","Animal","#9900ff","RPHU Rawa Kepiting","03_Market","4773",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"87","A8","Animal","#9900ff","RPHU Rawa Kepiting","03_Market","6448",12,"RPHU Rawa Kepiting","S 06'11'42.0""","E 106'55'15.2",-6.195,106.920888888889
"88","A9","Animal","#9900ff","Pasar Deprok","03_Market","1011",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"89","B1_S7","Human","#336699","RSCM","01_Hospital","720",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"90","B2_S8","Human","#336699","RSCM","01_Hospital","3033",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"91","B3_S9","Human","#336699","RSCM","01_Hospital","648",2,"RSCM",NA,NA,-6.19620738811018,106.847811790744
"92","B4_S10","Human","#336699","RSP","01_Hospital","38",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"93","B5_S11","Human","#336699","RSP","01_Hospital","-",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"94","B6_S12","Human","#336699","RSP","01_Hospital","131",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"95","C1_S13","Human","#336699","RSP","01_Hospital","131",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"96","C2_S14","Human","#336699","RSP","01_Hospital","44",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"97","C3_S15","Human","#336699","RSP","01_Hospital","354",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"98","C4_S16","Human","#336699","RSP","01_Hospital","405",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"99","C5_S17","Human","#336699","RSP","01_Hospital","131",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"100","C6_S18","Human","#336699","RSP","01_Hospital","131",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"101","D1_S19","Human","#336699","RSP","01_Hospital","",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"102","D2_S20","Human","#336699","RSP","01_Hospital","1158",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"103","D3_S21","Human","#336699","RSP","01_Hospital","131",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"104","D4_S22","Human","#336699","RSP","01_Hospital","131",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
